sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50,sensor_51,sensor_52,sensor_53,sensor_54,sensor_55,sensor_56,sensor_57,sensor_58,sensor_59,sensor_60,sensor_61,sensor_62,sensor_63,sensor_64,sensor_65,sensor_66,sensor_67,sensor_68,sensor_69,sensor_70,sensor_71,sensor_72,sensor_73,sensor_74,sensor_75,sensor_76,sensor_77,sensor_78,sensor_79,sensor_80,sensor_81,sensor_82,sensor_83,sensor_84,sensor_85,sensor_86,sensor_87,sensor_88,sensor_89,sensor_90,sensor_91,sensor_92,sensor_93,sensor_94,sensor_95,sensor_96,sensor_97,sensor_98,sensor_99,sensor_100,sensor_101,sensor_102,sensor_103,sensor_104,sensor_105,sensor_106,sensor_107,sensor_108,sensor_109,sensor_110,sensor_111,sensor_112,sensor_113,sensor_114,sensor_115,sensor_116,sensor_117,sensor_118,sensor_119,sensor_120,sensor_121,sensor_122,sensor_123,sensor_124,sensor_125,sensor_126,sensor_127,sensor_128,sensor_129,sensor_130,sensor_131,sensor_132,sensor_133,sensor_134,sensor_135,sensor_136,sensor_137,sensor_138,sensor_139,sensor_140,sensor_141,sensor_142,sensor_143,sensor_144,sensor_145,sensor_146,sensor_147,sensor_148,sensor_149,sensor_150,sensor_151,sensor_152,sensor_153,sensor_154,sensor_155,sensor_156,sensor_157,sensor_158,sensor_159,sensor_160,sensor_161,sensor_162,sensor_163,sensor_164,sensor_165,sensor_166,sensor_167,sensor_168,sensor_169,sensor_170,sensor_171,sensor_172,status,id,site,repair_cost
0,-67195.0371616047,-565866.880565036,-914.467345545354,Off,145809.99535858,-309.682664811496,-941.725413544085,0,-3717544.21807991,3407186.04657473,0,0,0,0,-662.181566458329,-0.0162581501981937,-577264.093352068,6299822845.05959,-80226.371235116,fault_code_B1YJM,-0.424447212666396,-381218.121663196,1773282.95494198,2748.19039435421,502273.317629079,-6032.43815543108,-26255.8095451438,-77844.8184311028,0,131.081943438543,0,0,6660200.91335481,-1119233.20079748,1571.55593483995,-464.261215690309,0,0,-5932.80024553144,0,117081140.896419,-65163.8669173022,0,-4571.10387584764,0,-1468.72563804612,10672778.4464273,0,64947.2956195312,0,-23.1552915799519,119224.037936997,-81985.9896163907,616967394.02566,1292.12351923929,24099093.9030428,82875426.0714462,-6704.48277286631,21176.5104237989,-271.01702707246,179595444.896571,9861165.19595708,-23.4573471092754,-10.4207470447813,178217335.05235,1860008.00988082,20193050.9382839,-108.9921767553,-1633433.2177902,NaN,4976492086.51825,0,0,0,81811.3453179777,0,21374121.4976202,-164669.996185721,0,395581.936105926,-105703.384880669,12570651.1153168,NaN,-5794.08942976589,1731468.6180125,4599659.53977093,2205819822.78524,0,1533291012.91756,0,0,-16916.0868426407,531685.721924981,0,0,op_mode_136,3312161.4011304,-253207.093467735,-680575.038851197,-1587.72274669644,-71233.4825485118,144202.33688118,-554531.171853156,0,0,0,-21490.1436861653,0,-5976520.40947201,562820.548549584,0,NaN,724338210.362365,-720709.599443386,-469516.93133789,879949803.008982,0,0,854153.237525116,0,27567967956.4067,369315.563752079,115524.114578012,62677.2911121785,-22061.7288260258,554298.539889213,0,8.49256582066662,-451687.371028739,-133626.130659763,3865185632.3697,0,0,0,0,-4221.70089198161,20552.9994643873,-203271.460439412,474993109.133335,-0.152830511034032,2091372087.4375,-805011.553366639,1117,165136.075346833,Off,0,-280428.103603044,27.5908297429606,-836.724668262387,0,0,Off,-340368252.295373,0,0,-59589.0959939664,-338734.750047781,-1.31293788315655,0,0,-10156.2773747522,3565742458.9078,309971.742753485,0,0,-1336.28644927833,36948201.3201194,0,0,0,-419825.452030485,failure,1542,1,1770
0,0,0,-68733.6362522357,Off,1382060.45984561,0,-9880.44235567356,0,135320355.078615,-8669.97858054604,0,0,0,0,0,0,372283639.452295,-6170407.53506394,0,fault_code_VQLDH,0,0,0,-706.737051283985,3720094.43377294,-794.08714207049,-23826.6064407828,3187120831.1373,0,NaN,0,0,NaN,-148322.058028937,384512789.018396,0,0,0,-4504.77328513968,0,0,0,0,NaN,0,1711001622.11558,6258485.87186044,0,23.8265316180254,0,0,-1876.53942864831,0,0,-24.3409882285169,15939856.5628641,-3421903.97195731,0,0,-927.196076925965,0,0,283.197103999092,0,-10099.9654896654,0,0,0,-2810440.36136666,NaN,-927433.905337506,0,NaN,0,NaN,0,0,0,0,0,2048260.60818778,0,NaN,0,0,0,-6320581.02132702,0,-321114.00809762,0,0,63411967.0068609,-3390.02516080331,0,0,op_mode_44,0,0,0,0,500334.151974147,0,0,0,24203.3470578077,0,0,0,-15956.0909261081,NaN,0,0,2248625.46987413,0,9238497.46024128,NaN,0,0,-13.1403755555656,0,-32.193832975876,20140408.4023446,0,908173.303959578,-1759.80959823374,0,0,13.529438078217,0,0,80026293323.5218,0,0,NaN,0,0,0,0,-1214370.81079792,-87.9344783486532,0,-74785.3288258917,0,199051.36521338,Off,0,245966039.680512,NaN,0,0,NaN,Off,5251.08034861177,0,0,0,NaN,-59.2641029221995,0,0,0,0,0,0,0,0,0,0,0,0,0,failure,3926,1,1218
NaN,-1479676.86711923,-80479.9967327238,-7302.09827645696,Off,9968818.03777472,11467743.2059863,NaN,3650342851.22084,2237771562.803,NaN,0,-9.22337203685478e+18,0,NaN,-1701.72146197191,0,115866268110.039,-1640038.78771692,-26260.7439035313,fault_code_T46OI,142785.842258233,1128420074.97583,1271043.87476772,NaN,NaN,3925183.59620092,NaN,-8025.25231710935,0,532592.668588208,0,225267194.139405,-308459.333168716,-285879.726920118,968868122.36601,-2719.8043051783,NaN,NaN,-5725.598178661,0,-30119.0088111351,-158884.479635556,NaN,-99928.8433613251,NaN,33762612.282236,-13445.8802113309,NaN,NaN,NaN,341.865326584812,NaN,1129426.70983337,-6205.86885588242,NaN,-46672.3042704146,5150275136.13095,-47884.4576126906,-5177.37934962594,-937.601038104396,609264.030692191,233796.011828307,NaN,-457.207285933826,73343754.5995073,398950.090112673,8687582.71137861,-886.055558801821,133461702.125546,NaN,-964814.680653048,-1995.49802714767,0,NaN,26325.1181533534,2465550236.12661,504696774.163282,2736351.80974287,0,-318.107264969585,-266226.550150126,1633946.377857,NaN,-15176.9074320928,-1271.87181809972,66386468.6127881,-2677510.14671184,11032278.1371758,NaN,33.5362545185725,-4504.70227434183,-30242.4360158178,-34786.5833810936,NaN,-207090.82760539,op_mode_38,-896493.157999112,-1173501.81287972,1597654559.31674,-14837.0699398956,2373345.11359763,99262817.6519275,-2051288.72382146,25426.7436139322,7869367.03822224,-1016.87634084897,25631289.9520092,7299.71233161893,NaN,-384.765806505963,-1659.34611398672,0,28128468.5894339,-386726.442901685,10767269036.1171,-7341092.3908397,NaN,690.403162195876,NaN,NaN,-3384198.00123622,67458.7520975385,40565037.5921251,NaN,9504587.75271932,NaN,NaN,2.39905814824453,-1454741.14869758,-1405244.58966466,120285038857.698,NaN,-598.367745185167,0,NaN,-133292.462297916,382133.396428174,36187935.4547279,192293702.418698,NaN,4014648349.2824,-2524181.84276281,39968054,NaN,Off,NaN,44762754515.731,10361.3674107552,8.28922624068473,-2.1700742850235,0,Off,NaN,NaN,NaN,-55072.7524543141,-48620.9524850581,NaN,NaN,NaN,-27944.8681223327,1313813082.50787,-85.6620997091054,10961.5195999668,NaN,129204.320909234,-89.3628588707757,-209.911047061526,0,0,12848804865.5261,failure,4910,1,1243
0,-165670.383065046,-7685.1779931193,-41412.0357133862,Off,327629947.478604,4068.11185379773,-2460.25130663983,0,3264001253.71091,143603901.108304,13178264.4090425,853544,0,20479.3624419237,4378607721.58915,-1.54118973814673,-952584.681492126,7452220.5447303,-50325.4180906242,fault_code_IC14Z,-166690.991329089,420697916.541667,182432.712803503,-1438.1594808173,69475981.2133631,301054.46762633,-1007.75299188487,-4554.13592123521,0,2790.77858525971,0,0,-5.66966914929605,-694855.739842542,-25393.4111337104,0,0,0,1352203.19033725,-138850.013430311,459312109.166072,-3118.4419400397,0,-306350.648196086,0,1124352394.39902,-10840.9647794236,0,819740.122442486,44236978.8355118,5244185.86849587,149047039.355536,-102503.682827032,62599776.5037505,-68.2664056241294,-3670.04120928398,-1458275.50463979,-147584.61467138,-13.1825997331057,1395.92119495022,-39848.8809664277,42655.678118946,720862.718508812,31045108.6295071,-30504.8980186059,325645.811184004,-97155.533691191,-242.341662812622,329356174.191302,0,2284250577.92589,0,0,0,-222.981119463885,0,2129148694.4282,-1104465.49121197,0,275686.500406065,134958890.895202,282626123.536731,0,-8992.39918468899,585819.99454257,371747158.856121,-933084.705643164,0,-26775259.2084513,-16.4367955571149,0,-52784.8463191631,-34420.4285437083,0,0,op_mode_7,-5474.16567871272,-48148.5850264935,3248238.36273395,-38822.1198860334,62594.0910738609,1500462846.92918,-94062.8482986854,32.0645279599862,320608.86742539,14037240.1433761,-33031.963997918,0,4944536.31682323,-89.1817681373941,-41032.061302929,-9.22337203685031e+18,463452190.396588,22886890.5347341,-110676.535125887,13159620126.1681,-195.474661951942,33064505.0395539,395512.968476244,-153066.359177386,6179559725.00369,6106719.98774895,0,34774.2859972834,173.487166743342,4979196.99402603,0,6.64559777547868,-6701.73233079829,17066218.9812737,-407496.05513664,-494.417512631461,-21.6064044733327,0,544.139567081466,-5557.14819784179,-203.352478960405,584744457.82563,-103245.482097654,72288.0786645417,-21934.0895348726,2456777405.82273,-9.22337203685478e+18,79450.408710109,Off,0,-620150.896019071,0,37706.5676810442,196251.874393871,0,Off,-14.4865137454729,0,0,27656638.0454799,-1713882.2244709,1585586.97295375,0,0,-927568.776916218,-466.202333373949,379446.437997456,-2069.29901984523,0,4076512.80241694,74143.3232074847,0,0,0,-4435.19318160701,failure,5634,1,1366
NaN,36005510.0036947,44795665.2435151,-22856.8901707185,Off,-1332.85534868837,NaN,NaN,94199248.6959812,38157797.9753795,NaN,0,0,0,NaN,-29467.2088922941,0,-2446262.56108163,586797114.577457,-54619.9208830718,fault_code_GGE73,39014079.3558259,-2898191.08479165,7299516.83973796,NaN,NaN,103817.220301532,NaN,-61587.7654520544,0,NaN,0,27304248.1066656,NaN,43116607427.7728,-5064.87739003376,-1109.05884097838,NaN,NaN,46909520.8990617,0,-466197.242367198,847761625.773774,NaN,NaN,NaN,-31211.2983319821,-31072.0281882581,NaN,NaN,NaN,-821.063438796748,NaN,32115143.1954167,-157100.136198105,NaN,2575842.00716922,-247572.757118575,-57853.1008348561,-424.752087457932,-1378.17576487796,51803739.095678,-139065.67639655,NaN,-4626.8230476412,-15273.0708876113,2365918.19611912,748302202.118159,-1257.89090241268,-183566.403988778,NaN,-81236.7518815788,0,NaN,NaN,NaN,3354157023.67868,101992292.853237,-9193.6739170938,0,-2454.11528339867,3140929463.3017,5026209.50321397,NaN,116681.552787841,-130.993759902511,707939544.562395,-7766045.51402477,31567509325.9065,NaN,0,-4627.31865327311,-3791.01554991404,-2022.03262233014,NaN,7616555386.82238,op_mode_141,-1294845.64347065,24842037.974889,20370130108.5385,-26942.3022578136,25010834.5838963,2360728172.87014,3838389689.96006,NaN,3589746.55629851,37061.6262683438,-9911.97341805757,0,NaN,NaN,72162.5812071929,0,-8837.15202024176,8213105566.72493,-60499.4296207599,NaN,NaN,22236.5449130886,NaN,NaN,-733283.253495024,-2261.19194023152,11848249.3739362,NaN,107225689.026438,NaN,NaN,3.78810058434425,2432320435.13867,-623425.049092089,948445109.633736,NaN,NaN,NaN,NaN,-1243945.25974627,1181909.54674794,1070975412.19387,134708792.079931,NaN,-76162.7483385073,2186561484.97149,NaN,NaN,Off,NaN,-123082.607276436,NaN,-33.0576923984902,-0.79807766065092,NaN,Off,NaN,NaN,NaN,-2263820.99564288,NaN,NaN,NaN,NaN,-160161.434934755,258957992.538342,NaN,-28.3550327542752,NaN,3737979.38092309,11455.6750627773,98.9315446836491,0,0,17645422.6232469,failure,5712,1,1550
0,-76707.4923352328,-79653.0068935554,4689915.60718817,Off,3331674.40523319,NaN,-5867.69292375903,0,-87560.8995800094,-27098.3807336402,0,-9.22337203685478e+18,0,-0.234810672205205,507648.361595568,3490.32449500348,-3009618.36266519,759747312.353229,8005.56978842517,unknown,-27905.9676606962,-33852.5282912002,74103040.156642,78114.0384476302,101346608.216457,-13609.4980980167,2588039.11748348,-191419.970428104,170616910.209588,-4.09635939284833,0,0,11766.1015428638,-2341186.36644454,-15914.7921116562,-59395.6675139096,0,0,377455916.491889,30248.0753896995,1876762.81778745,-2169.09526758371,-100489.125102759,-16660.8374461473,0,-38210.1602231023,-47363.5720294877,0,-0.713099786549557,0,-5.15061827061519,51017.0022582133,16502930.3801336,-199920.757895344,-2.80028729038736,28549241.0690142,93541702.0875651,-39900.9385352259,-2173.68439614708,-533.054759290058,22181.6153427403,-1555.52277182362,-5.5608681565608,115969702.937763,695318677.857334,-106.071844174592,-47797.1961067516,-523.622476683018,-112306.549418745,0,-14423.9103202486,-24.8049470196729,0,0,2986.84594432115,0,-98488.4912231867,-430386.027873985,0,27446891.3311907,-122355.896975496,340787.668054329,0,19833525.8836229,-66.1116918640087,-1039.00225094034,45356836.9221058,0,225444729.44259,0,-822644.475413241,2246984.06358639,-14816.957344101,0,0,op_mode_63,4528416.15952754,3327601.27369474,196275586.030704,205574003.37453,-8832.90567308076,87866954.008092,309458366.001512,324547.471910004,0,16948570.9284037,-564.927669754758,0,4450506.99502547,1434.74853824004,2006775.84447164,0,5716616.18834241,342501003.159691,-52484.9727030809,-28643.4855850997,1513.03714657833,0,-240.01263177383,0,10389934127.2197,-24046.2506706491,0,-286.858228568974,-40699.7099389165,-2817.21885443815,-52624.5856943233,8.78248407683506,41840618.6157016,5733938756.67404,-259539.091402882,0,-3.4472139956047,0,491622.215489009,5806421.33477769,-761.925010730872,-32196.9314392171,-78270.8867416829,-270.483231071185,527154080.442029,4264025.04223376,838,-121.575472377047,Off,0,-76256.9863348456,-67.7437251952781,0,14642658.8868106,0,Off,-9.71688683937036,0,0,-70883.2744155758,60778873.3790019,1064.58085405799,0,0,363473338.195965,0,731115.041599044,877868.024587406,0,10985971.8174419,6689.82608806678,100542.356257789,0,58291282.1288776,-121377.701321106,failure,6395,1,1537
0,4281164186.78868,50677989.3560214,95166.4752353171,Off,262428160.139662,53374.4461902536,87995256.6001264,0,-4220870.15637042,4485929.03548094,0,0,0,0,0,-29.550864650821,1130094381.00274,-5604581.99809433,131116521.937204,fault_code_4FMBT,84552539.022198,724378876.766211,-77437.6850253444,48863888.9839363,-4801.60568968547,903307.806701099,-264760.491224535,268390.630661061,0,64525.8953158499,-0.0192318249733692,0,-29209.7029338509,2541300801.59514,-32937.7236690636,-5784.65999740509,0,0,-6949.00910168371,-6.924354967642,-17453.5728972116,1702403961.29936,0,-70022.873013388,0,55266.7760934778,1322554.65469015,0,454.56362028152,0,0,-8763.11133133671,5503857.81778866,3857209.45254021,-205.981724630378,-109604.898260944,215223101.871276,1895848840.92459,-1084.2005585562,943.482435762482,136878569.048511,277932.976935659,-13.8923187922853,1453.43870379451,1183474.80180275,4797.15934866122,12412802.4515856,-332.13496632018,-223464.853906726,NaN,-248643.194427989,636080.992516236,0,0,98529.8934790556,0,-3246196.10864561,650.838889194857,104.137575089476,-50.1309345989597,17769399.5136932,-1941981.96179389,NaN,498762.279357351,-494.728298104551,1831615.93127159,-357034.793121083,0,6181565799.363,0,0,198082355.63307,-27067.5260381256,0,0,op_mode_142,-69432.9099944219,26488629285.8576,35379319.5129143,203814.770984695,-14150.7198124524,7120.5086996618,387983941.195611,989.293620775024,-3768.37527236705,28121827.6807022,-335647.666445511,0,-1284870.12135135,-30.60090174012,-48392.1092795037,NaN,2212305.03672493,-391192.310498391,601753581.274116,-1781714.40900507,1783056.77003107,0,4135341.16731151,0,-2269710.44106889,-1021.39829739084,892.791103078003,289189.590599527,31907842.1648259,6497743.47289795,0,15.9304401910819,-3529624.05434009,-652545.713139115,-4740027.23457705,0,7763.06623476561,0,4842.0640132683,-219524.910011262,-117.578154975394,1125233.57072094,16327446.0925109,5139070.04274748,-271681.98583521,-1150802.43814808,-9.22337203685478e+18,139.828941142338,Off,0,-342432.599973896,0,-226329.366067501,0,0,Off,42399.1219149521,0,0,2094132115.22942,-2815171.69525392,-100.275901272443,40050493.4044305,0,-7346.63886152065,-947666.410800261,-1153.83441358251,-340.104808074865,0,-2137.02102001697,-1060337.01975616,-733.195567896656,0,0,193407308.815852,failure,6850,1,1807
0,-2842525.27890798,-39138.3591135198,-25839.2239385735,Off,1469159.4892691,-19.7158648199915,8394.06725181605,0,7558721.0691401,-26975.5129515052,404305.673913983,-9.22337203685478e+18,0,17007.5781410963,-203679.840397232,0,805042728.579281,49399455.5000281,-181253.263992592,fault_code_I2E13,-3.11123413939398,1481012.52393846,-21509.8431778234,20319666.0686725,-2750.36303618079,-3128.9510101566,8816478.65388596,70017265.5819483,0,-126.540883041139,0,0,-11203.1733623919,-1452752.01639791,940999.054203371,-272.114219513645,0,0,197983452.247614,-0.173085242909555,83959115.9955678,-11815.2542226648,0,309689101.546296,0,-6171.25262872275,107713.73960942,4075028.91922073,-13.1944537922144,1039391.6217528,-112457.79952293,-896.978787214419,-4634.88054474926,-23429.1312613961,-498.271841598414,-13662.016509976,10705857.6298203,-1633.80394757769,-54.8658276301939,-1461.49095392394,-88643.5520194278,-2583.41846391237,-25.4816013338328,104201.036324968,207955.068211096,-40.4574227041937,57173977.714816,3367.32794279947,-1510572.65981613,NaN,332070717.682734,0,0,0,-23.5435915747216,0,6814883.61701407,92779493.0081827,0,774121.067401948,1606108.08603083,-231.798502981588,NaN,384838.241799061,0,-106675.324274068,-1893428.16502717,0,-60081.0586908864,-2777.71873720654,0,59630340.9467428,91781.8717296545,-1059.16612140205,0,op_mode_122,-39232.6499132472,-325072.766980303,423518300.216832,-4720.54067122882,1257634.26578829,5111695639.54073,-433869.737402243,-40.1900624715816,-135.050664899386,-4071.41412168953,47006377.1410575,-2581.19647424353,143467054.393264,1291718.16929892,783669.61910006,191441655,-39646.6410385828,-14829.4450608773,-112316.333417256,212785560.74181,242796.809554894,976526236.889283,943647.026446102,138087035.726068,1749365653.88542,926664093.481043,0,112225.005059485,-13834.3461813253,3200213.19713798,0,2.79922190727838,206652700.522881,-1780640.07930193,-177582.327932288,-236.423552989207,-62.3763477713075,0,0,-90645.7750698807,697999.791861109,-186785.998061351,1949726358.85493,145267.095365735,-22398.7453047422,9834936239.32966,1654570,32707852.3106775,Off,1565522.24981605,2531929080.37114,0,0,204968952.120675,0,Off,62152.6764497273,0,0,13732648322.5258,10915046878.281,-393.385848074694,0,0,10038139.5315548,145096627.402908,3853708.38780314,-0.336153228306547,0,7915.96859905357,-73.7856234976298,0,0,-48029.4933229667,15094496.6526242,failure,9557,1,1623
0,6392709.63280948,-153339.922111823,-1861.14960460713,Off,-729.47374650776,-197.6792752218,-158.245315939818,73689.3387334349,1653667318.38547,-12078.4813465115,0,0,0,0,-804.313750600162,0.707820109908011,40689152.8900089,23063419.3497655,3524.20072777431,fault_code_9GXJC,34241.7332679514,83652925.9790353,-24.8479745612671,-4832.46899399335,91403345.4635981,51651870.8880863,-552194.635654896,77617.6644887054,0,NaN,0,-1621.97000845799,NaN,-382672.795079736,14416329.3961898,-101.775542887529,0,0,-10661.7135643622,0,-137604.388611675,6298871.26847322,0,NaN,0,66606162.4505829,1548832.97239048,0,3325.18137279543,-346297.3369091,68447839.237986,-3326.84761649631,320816.003987775,-2239.54812616124,-625.219252071917,-3060.89809073281,3558379889.03406,-1248.31214610708,14232485.2178352,-1197.5397824122,-132.613192195036,-18014.9123244674,1666245.34028316,926289.268957738,-5402.26720897733,74720.1487228273,-75373.188661902,43363.8420377887,-47197.7757523319,NaN,-39482.8448110042,0,NaN,0,NaN,-5375.84790559492,5197490268.08167,87460019.8789699,0,-3872.8606890193,-133985.508585608,-13639.1892491192,NaN,-1295.08250690187,-2531.17740598655,-15341.3657630246,26764026.4028068,-22492.3838032239,-2958279.29251483,0,0,-26374.9072526734,7479510.88664775,0,-3091.51233531859,op_mode_80,89117508.7376272,-20440.0428341542,-327960.102131812,7161448.68516341,-15055.9977505837,-121664.206910708,80660008.3100191,0,-2014.21717293123,-1485.27109548566,-6090.92128612002,0,202013426.969984,NaN,-14109.6893813651,0,40053756.919496,872759.21348945,36558027.5607367,NaN,-5.11809240752612,-5.14616113414975,2387469.76578112,0,-191828.62051983,8856876.0540158,-4858.00718565784,-63.5141573123377,97879478.1277116,0,0,1.27786541880596,671845.519392231,-186548.3786482,1874664921.33188,-13996.0340594853,0,NaN,-2.37575753632317,10594082.3989742,122923.320431503,271388347.625019,-140176.926202605,2463.20312264922,-255888.868100194,958598033.00529,NaN,18742.4127595367,Off,0,-263540.005330705,NaN,-27.0448969122597,19008.2894799907,NaN,Off,-64.7319967455439,0,0,-168992.198846022,NaN,-2177.8111598458,0,0,749789544.027134,161829424.993052,-279.598607878727,-8.96270650455577,0,-259.753474046878,-989.436018136638,0,0,0,-350907.018195731,failure,10451,1,1415
NaN,-1643452.09114617,-241696.374850523,-24460.1462264337,Off,84626.1162671849,44488559.1938605,-10197.0697972972,0,-799052.859799192,NaN,0,0,0,NaN,17164802148.4055,-0.0141793451041128,332647625.328794,20116344.7872924,1033744725.35848,fault_code_Y26RT,0,5604972207.0899,1415787.13000052,NaN,NaN,-107258.223634452,NaN,117170342.537345,0,NaN,0,0,-5.93803526565206,-816003.879047314,-1819.60214292661,248044.31855858,NaN,NaN,-7922.93274265242,0,-177796.557262794,-21589.074750622,NaN,190225805.56183,NaN,-17316.0087494082,-13892.0641035256,NaN,-74.6161382814041,NaN,-183622.738148648,NaN,-3216.38981964372,1659739.79318733,NaN,-46200.9637889091,-14278.3399188928,-26968.0994925893,-923.280556662915,-873.777212912818,-17704.8182062037,-1173.59890872039,NaN,2391392.79577125,1903910.17033388,-1331.51253626942,-609983.794082458,43990767.1467067,3720688.70397435,NaN,3682108508.52439,0,NaN,0,-490.720920123917,0,337403502.678927,3035280796.13801,0,-324.168641333302,-297930.607745101,-253739.745237218,NaN,6981.44307071584,-7280.1385832852,453386468.678592,9565424149.72691,0,NaN,-2141.6112895806,0,99940.485983482,-821.520057058255,NaN,0,op_mode_128,1104014307.14266,9200736.33379995,3181056.36005502,205034162.794131,33903547.1315501,349732152.853591,9368515969.02346,149.943284587886,0,-3587.81569655203,-3347.30619460871,0,NaN,-86.4207598139216,37202109.5950872,NaN,-6072.13233762189,2542288505.17932,-139957.942284034,-330358.806225714,NaN,-27569.5810274187,-3340.68781388884,NaN,-7476618.01694583,26719.4345404666,0,NaN,-12710.9273281352,-177879.710090643,NaN,5.62756476944549,-377382.051306423,-427421.618424266,3357792057.75082,NaN,-1017.71578168888,0,0,26677366.3534416,-9716.36750798009,-129575.825502874,1660185.31491734,NaN,1484328064.42656,107340080.023525,0,-74.321607494196,Off,NaN,-11458.5810491849,73775.7508922766,0,-5002.47783148099,0,Off,NaN,NaN,0,-222027.544316629,-796995.979122588,-30.4104417942312,0,NaN,-764870.355129683,-1932.04034376005,399851.057030278,0,NaN,-9172.65744534147,-769.372736804274,0,0,1943014.56838916,-2032316.79345232,failure,8897,2,1954
