sensor_8,sensor_21,sensor_87,sensor_97,sensor_140,sensor_167,status
-941.725413544085,fault_code_B1YJM,4599659.53977093,op_mode_136,474993109.133335,-1336.28644927833,failure
-2460.25130663983,fault_code_IC14Z,371747158.856121,op_mode_7,-103245.482097654,4076512.80241694,failure
-5867.69292375903,unknown,-1039.00225094034,op_mode_63,-78270.8867416829,10985971.8174419,failure
87995256.6001264,fault_code_4FMBT,1831615.93127159,op_mode_142,16327446.0925109,-2137.02102001697,failure
8394.06725181605,fault_code_I2E13,-106675.324274068,op_mode_122,1949726358.85493,7915.96859905357,failure
-158.245315939818,fault_code_9GXJC,-15341.3657630246,op_mode_80,-140176.926202605,-259.753474046878,failure
-10197.0697972972,fault_code_Y26RT,453386468.678592,op_mode_128,1660185.31491734,-9172.65744534147,failure
1812402.13613274,fault_code_9UU40,-4776.3992053267,op_mode_104,3733812583.46861,-1081.87127480812,failure
13105238.3021682,fault_code_EFBJU,-62.5864758133798,op_mode_41,6047464098.71818,155019.655955391,failure
20400.7304847714,fault_code_8343F,10438.0767510665,op_mode_127,-96607.1365170953,3278734.47515197,failure
13704.1432679167,fault_code_HG24J,-2000.99062283836,op_mode_66,-653483.610731389,8062511.64487818,failure
1628.20013744341,fault_code_K051L,410841.254627047,op_mode_7,-15983.1180898009,20281035.2023515,failure
-7555.58507353391,fault_code_ZNG46,-10556.5654377278,op_mode_19,45370575.4767906,-110.973537931698,failure
-603.848919724748,fault_code_EFBJU,-60.837212684557,op_mode_109,-297991.856124447,-3952.64521020401,failure
-741.899079272248,fault_code_9UU40,-177797.783722105,op_mode_27,-1600693.85781733,-77687.1131906552,failure
-5443.01763188166,fault_code_QKYCE,-1269.29324923376,op_mode_48,1549984013.14831,572111.755810557,failure
-1705.27116611217,fault_code_9UU40,1352977719.9267,op_mode_39,5633639492.38001,11952008.03126,failure
-1835.51519776399,fault_code_QON2U,756623.78113773,op_mode_23,-539133.065965732,-5392.19943912621,failure
1768439.52288314,fault_code_GGE73,-13719.4144143124,op_mode_130,-566318.024768435,-887.879910687676,failure
-4499.91508077004,fault_code_ACR9Z,1942810.67184683,op_mode_121,610993.376036797,1036296960.79255,failure
23318045.4524501,fault_code_WW85G,242902373.413978,op_mode_81,19766652.1224641,-411.562369662011,failure
861083.277233557,fault_code_JYLVV,-970.028455196298,op_mode_81,-8226.64319967067,1282562.57608331,failure
1744389.92811187,fault_code_NV64X,-72621.8337517278,op_mode_51,-1198562.52505104,-35759.4800240094,failure
-450.132227767884,fault_code_SK9V8,-37191.5398108795,op_mode_124,93935738.6541132,1502376.33010307,failure
-794.867627335402,fault_code_GLFO9,-294139.639367963,op_mode_66,-302941.099269984,-489.377997487,failure
1126433.9043401,fault_code_SKWTZ,-16102.5900406477,op_mode_143,4100855814.46092,-109.533049164895,failure
-891.343021034138,fault_code_R3769,-31864.3944747367,op_mode_77,-56215.9477451771,-223.979449071391,failure
-288.512963700993,fault_code_8343F,-311826.200340078,op_mode_7,-51781.5618488344,30246563.8626914,failure
45468.4400906769,fault_code_YS4R4,117836.153879486,op_mode_88,-736112.946128837,-85115.1169743873,failure
-2781.73170213167,fault_code_983JT,1915340275.94892,op_mode_122,-31095.8794542366,-4820.21678587755,failure
-3216.17897872749,fault_code_ZYYVW,-64487.1459722355,op_mode_144,-7033.25321112341,148921.993394831,failure
-5282.83733070927,fault_code_K051L,-224.931921552607,op_mode_144,1868056834.17601,148463.648574423,failure
-1198.92667754992,fault_code_DH0A2,-1287.24955532408,op_mode_44,131011448.270376,-16.1619867969064,failure
20215259.4338169,fault_code_0P7B8,-582.0371757408,op_mode_123,-98688.3635161272,-36411.5182880254,failure
226355.778353245,fault_code_T26Q7,-333443.224952384,op_mode_143,2150030.25068225,472307.958157158,failure
363429.944071051,fault_code_GGE73,-14393.6366167032,op_mode_7,-390523.733447941,-177906.904420743,failure
4721068.57911166,fault_code_T26Q7,-91683.8837756607,op_mode_122,-208245.534879155,2123317.24968275,failure
-3270.02275705245,fault_code_8IKRX,99710314.1212212,op_mode_121,-3504.81745345989,-84631.1262922218,failure
-3268.5785475862,fault_code_DGPS5,-1995184.1425466,op_mode_14,-1336356.93234976,79216525.8777773,failure
-0.304421756243801,fault_code_ODNG1,1151059161.90235,op_mode_92,19128.2784848927,8329877809.51425,failure
250745.818122219,fault_code_PE7EB,1831168.23036755,op_mode_136,-143425.498947697,1968737730.54069,failure
5012913.85977201,fault_code_SPTO1,77957156.5669763,op_mode_80,24233578.0618197,7126962.1751905,failure
-149.275579496503,fault_code_ZYYVW,-292777.067314944,op_mode_127,137617631.251563,-57.9264190572162,failure
-5905.77138644763,fault_code_NTWNT,326851834.126581,op_mode_89,156144629.310933,10515042.7929842,failure
-361.999808806009,fault_code_WW85G,-20414.6961756002,op_mode_62,334880.023820106,-2.997747954869,failure
-962.56486258423,fault_code_VQLDH,-76.5324845864506,op_mode_132,636914.130086046,454737691.095123,failure
126630038.742671,fault_code_WIHNS,6267564508.41539,op_mode_80,-118240.751142462,11086628.695789,failure
-2358.10691027745,fault_code_SKWTZ,-426165.392203071,op_mode_144,7167467.60270255,-408.12612168709,failure
-617.18707433364,fault_code_R3769,-488420.041857919,op_mode_149,145059104.618306,6755085.70106213,failure
-4803.40359962183,fault_code_PNQBF,4115166353.9172,op_mode_138,-4734.27074815358,268074.767576705,failure
316728.441217165,fault_code_WT2H5,615007246.888767,op_mode_81,137898113.559449,31024582.2499983,failure
320119.865366425,fault_code_983JT,-80094.0304009517,op_mode_21,-48821.9355214973,-882.56547790362,failure
30251374.5031191,fault_code_ML7TA,-354.367677123524,op_mode_132,-243961.323299666,42001013.4698148,failure
770167.600214833,fault_code_XG82M,23460.2884757348,op_mode_63,-27425.7810303484,141880776.630671,failure
-2059.39621708592,fault_code_EMS52,147515833.468358,op_mode_117,54310.6628441907,221318088.560249,failure
61902.1081772215,fault_code_M4LX7,-253284.700177283,op_mode_7,4877503233.08385,61753.7709852785,failure
89594502.6876882,fault_code_6QSG7,-13086.6785488808,op_mode_134,477567512.404413,101817672.928551,failure
-6047.21049838946,fault_code_WQHCB,-6985.31133139448,op_mode_149,-5735.22137474959,12279.9053404566,failure
2535.34407467512,fault_code_8IKRX,323133.784399896,op_mode_131,24822008367.1183,202658.167184846,failure
-522.342195937325,fault_code_6QSG7,5204000.15503849,op_mode_77,3768308.69032416,-135567.552678472,failure
290753.211325077,fault_code_ZYYVW,-350308.053469319,op_mode_7,-1779.38774341733,8286024.28399306,failure
65240425.3792784,fault_code_ACR9Z,-2346.41481173238,op_mode_112,-107698.946549996,-5599.30244071697,failure
2589003.40750625,fault_code_A86VB,19885546.0926007,op_mode_132,-14215.0926682542,-252164.337991957,failure
149597.434329536,fault_code_8YCAY,5462945.71703759,op_mode_41,-192682.623661123,9713293.13640595,failure
298431.875991841,fault_code_K051L,-5644.43456651081,op_mode_14,57587207.4303986,-420.083773597676,failure
1355209.19502212,fault_code_BGA9G,-9216.87010991739,op_mode_116,241088808.337897,-70570.145850755,failure
47070946.351445,fault_code_GZBWQ,-442652.229747058,op_mode_23,-914399.644392604,-3122.30215134337,failure
-345.075100915831,fault_code_IMR52,-3.98690977941731,op_mode_69,465462902.639697,-17300.4940449669,failure
9974167.295028,fault_code_L5LNU,21796.1337440616,op_mode_134,-57887.6195744849,6579.2760213664,failure
4078.73825598652,fault_code_MS3BF,-54323.1803293949,op_mode_131,65172005.8839213,8058491874.45059,failure
10051712.519529,fault_code_QON2U,-100320.054646747,op_mode_134,6000618.17061601,152318668.31171,failure
-554.92459193625,fault_code_K7YTW,1234546.09309439,op_mode_103,-916885.327019883,-24345.1902104835,failure
7774192.65151405,fault_code_YRPZX,53331593.0325626,op_mode_53,534919461.772411,-16934.9655823912,failure
7800153.26313801,fault_code_S2MJR,70877879.6386348,op_mode_140,-6534.66336342425,8127287.16343537,failure
-348.292115229476,fault_code_GA3LA,-2148.03099142306,op_mode_80,17319680150.4422,241481.879165005,failure
874827.361952003,fault_code_NYCLT,-90566.7365103549,op_mode_130,-2272.4526713748,-446.178670495877,failure
353391.547342837,fault_code_0GZ00,-459.63029944617,op_mode_88,-73088.4079202776,2690.40877882083,failure
2616632.84470203,fault_code_TQKVB,264588345.721331,op_mode_120,912063375.555765,-12971.4819708054,failure
-459.806542363349,fault_code_ICSYY,266498.170593446,op_mode_117,79778078.3232857,50538883.4638443,failure
2459578.71454147,fault_code_99HUK,-203195.868683226,op_mode_51,518827681.211223,7148.42704791439,failure
23737770.5876546,fault_code_BHBTL,14582801.1794259,op_mode_103,4559199.13645256,619.448224272817,no_failure
-86.1300063914675,fault_code_TL8AF,-88.1020172399879,op_mode_109,40532471.5747333,-1298.06302136139,no_failure
-13402.8537413993,fault_code_Y26RT,-2071.3531699884,op_mode_89,769418992.874796,1286451.12091067,no_failure
-9351.77985746635,fault_code_AE7GF,-64.3795231431086,op_mode_130,-202930.999206956,-1301.86163434278,no_failure
72464.6969708916,fault_code_9JQHE,-76078.3361677787,op_mode_38,53773.0040223812,-450.879362363343,no_failure
18247.2640333311,fault_code_QCZSY,1139.41807607517,op_mode_7,-4319.03860580712,637985.607033661,no_failure
-551.538688623542,fault_code_WO2JK,-270.526443804825,op_mode_119,-1155.84488266929,-17448.9117681588,no_failure
7701362.99288666,fault_code_DH0A2,-1013.58936581668,op_mode_112,15160057.6993111,8563775.57270231,no_failure
-2316.88812166644,fault_code_M4LX7,-190.101933544887,op_mode_138,-209.184532184549,44037.2609883662,no_failure
-977.50071912218,fault_code_WBEMC,184590.627990251,op_mode_117,-10085.3233006461,-2.95588125539528,no_failure
101338622.262862,fault_code_TL8AF,-0.984098390097458,op_mode_44,-56220.9374104307,799068.606513741,no_failure
7946343.60141247,fault_code_FXLZN,-891.687926571973,op_mode_131,4119195.89101554,6973204.277568,no_failure
-2844.37880314326,fault_code_4FMBT,-1666.09828014912,op_mode_21,-32017.0650856986,-11502.8202450626,no_failure
359600.060046568,fault_code_F8VAB,79270.9536647473,op_mode_51,-721.486544100688,-8.26965519655133,no_failure
1199.31921631492,unknown,171818.243497005,op_mode_3,-21939.803790483,15667.8276765546,no_failure
824521.117328951,fault_code_0GKQM,-365.030513370571,op_mode_127,-3008.93081627525,-346.937992456564,no_failure
1861200.50815321,fault_code_0DH3T,-9522.1613918249,op_mode_27,112899223.794099,-12062.0814002625,no_failure
-1849.48173081537,fault_code_TYBUI,-94232.0083279117,op_mode_128,-21788.1689048953,22608660.3647753,no_failure
-10404.5286345146,fault_code_UVLGM,-0.41264785827296,op_mode_103,-23740.7004493326,-589.421441362585,no_failure
306.857186021925,fault_code_0RLXZ,-3830.46152930866,op_mode_128,7008080.26746346,208864.51066177,no_failure
-1140.70722902034,fault_code_TYBUI,-247.995046830477,op_mode_30,-231.085305345002,22346.8488207139,no_failure
